Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,638.4522,NA,17.14830000000000,NA,0.24870000000000,0.23690000000000,NA,621.4427,17.2582,17.0095,0.2487,0.0000,300.4142,20.7469,279.6673,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,654.6289,NA,16.17670000000000,NA,0.13810000000000,0.00000000000000,NA,638.7009,16.0661,15.9280,0.1381,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,671.3151,NA,16.68620000000000,NA,0.16490000000000,0.00000000000000,NA,654.7670,16.7130,16.5481,0.1649,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,687.9757,NA,16.66060000000000,NA,0.14300000000000,0.00000000000000,NA,671.4800,16.6387,16.4957,0.1430,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,705.1342,NA,17.15850000000000,NA,0.22010000000000,0.00000000000000,NA,688.1187,17.2356,17.0155,0.2201,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,721.3754,NA,16.24120000000000,NA,0.13750000000000,0.00000000000000,NA,705.3543,16.1586,16.0211,0.1375,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,738.0024,NA,16.62700000000000,NA,0.15950000000000,0.00000000000000,NA,721.5129,16.6490,16.4895,0.1595,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,754.6247,NA,16.62230000000000,NA,0.13880000000000,0.00000000000000,NA,738.1619,16.6016,16.4628,0.1388,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,771.4861,NA,16.86140000000000,NA,0.16840000000000,0.00000000000000,NA,754.7635,16.8910,16.7226,0.1684,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,787.9475,NA,16.46140000000000,NA,0.12510000000000,0.00000000000000,NA,771.6545,16.4181,16.2930,0.1251,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,804.7893,NA,16.84180000000000,NA,0.13960000000000,0.00000000000000,NA,788.0726,16.8563,16.7167,0.1396,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,821.2926,NA,16.50330000000000,NA,0.14820000000000,0.00000000000000,NA,804.9289,16.5119,16.3637,0.1482,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,838.1704,NA,16.87780000000000,NA,0.19520000000000,0.00000000000000,NA,821.4408,16.9248,16.7296,0.1952,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,854.6103,NA,16.43990000000000,NA,0.11830000000000,0.00000000000000,NA,838.3656,16.3630,16.2447,0.1183,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,871.3282,NA,16.71790000000000,NA,0.15800000000000,0.00000000000000,NA,854.7286,16.7576,16.5996,0.1580,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,887.9639,NA,16.63570000000000,NA,0.17740000000000,0.00000000000000,NA,871.4862,16.6551,16.4777,0.1774,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,904.9214,NA,16.95750000000000,NA,0.21890000000000,0.00000000000000,NA,888.1413,16.9990,16.7801,0.2189,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,921.2999,NA,16.37850000000000,NA,0.14070000000000,0.00000000000000,NA,905.1403,16.3003,16.1596,0.1407,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,937.9917,NA,16.69180000000000,NA,0.16270000000000,0.00000000000000,NA,921.4406,16.7138,16.5511,0.1627,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,954.6698,NA,16.67810000000000,NA,0.15270000000000,0.00000000000000,NA,938.1544,16.6681,16.5154,0.1527,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,971.3639,NA,16.69410000000000,NA,0.18870000000000,0.00000000000000,NA,954.8225,16.7301,16.5414,0.1887,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,987.9565,NA,16.59260000000000,NA,0.14540000000000,0.00000000000000,NA,971.5526,16.5493,16.4039,0.1454,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1004.6972,NA,16.74070000000000,NA,0.13880000000000,0.00000000000000,NA,988.1019,16.7341,16.5953,0.1388,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1021.2797,NA,16.58250000000000,NA,0.14060000000000,0.00000000000000,NA,1004.8360,16.5843,16.4437,0.1406,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1038.0836,NA,16.80390000000000,NA,0.20650000000000,0.00000000000000,NA,1021.4203,16.8698,16.6633,0.2065,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1054.6649,NA,16.58130000000000,NA,0.14970000000000,0.00000000000000,NA,1038.2901,16.5245,16.3748,0.1497,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1071.3171,NA,16.65220000000000,NA,0.17140000000000,0.00000000000000,NA,1054.8146,16.6739,16.5025,0.1714,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1087.9540,NA,16.63690000000000,NA,0.15520000000000,0.00000000000000,NA,1071.4885,16.6207,16.4655,0.1552,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1104.9119,NA,16.95790000000000,NA,0.15800000000000,0.00000000000000,NA,1088.1092,16.9607,16.8027,0.1580,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1121.3070,NA,16.39510000000000,NA,0.15390000000000,0.00000000000000,NA,1105.0699,16.3910,16.2371,0.1539,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1138.0556,NA,16.74860000000000,NA,0.17110000000000,0.16960000000000,NA,1121.4609,16.7658,16.5947,0.1711,0.0000,498.9560,35.8693,463.0867,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1154.6145,NA,16.55890000000000,NA,0.15130000000000,0.00000000000000,NA,1138.2267,16.5391,16.3878,0.1513,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1171.4837,NA,16.86920000000000,NA,0.14520000000000,0.00000000000000,NA,1154.7658,16.8631,16.7179,0.1452,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1188.0048,NA,16.52110000000000,NA,0.12020000000000,0.00000000000000,NA,1171.6289,16.4961,16.3759,0.1202,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1204.6461,NA,16.64130000000000,NA,0.16350000000000,0.00000000000000,NA,1188.1250,16.6846,16.5211,0.1635,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1221.3473,NA,16.70120000000000,NA,0.18280000000000,0.00000000000000,NA,1204.8096,16.7205,16.5377,0.1828,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1238.0474,NA,16.70010000000000,NA,0.22550000000000,0.00000000000000,NA,1221.5301,16.7428,16.5173,0.2255,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1254.6165,NA,16.56910000000000,NA,0.14460000000000,0.00000000000000,NA,1238.2729,16.4882,16.3436,0.1446,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1271.3052,NA,16.68870000000000,NA,0.17190000000000,0.00000000000000,NA,1254.7611,16.7160,16.5441,0.1719,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1287.9741,NA,16.66890000000000,NA,0.14400000000000,0.00000000000000,NA,1271.4771,16.6410,16.4970,0.1440,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
